StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q456,Q2,Q3,Q3_4_TEXT,Q223,Q224,Q5,Q23,Q7,Q8,Q16,Q17,Q211,Q32_Browser,Q32_Version,Q32_Operating System,Q32_Resolution,Q217_1,Q02-timing_First Click,Q02-timing_Last Click,Q02-timing_Page Submit,Q02-timing_Click Count,Q659_1,Q660_First Click,Q660_Last Click,Q660_Page Submit,Q660_Click Count
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Welcome to this research study!  

 

We are interested in understanding how hikers and backpackers decide to take water along their hikes.  You will be presented with a hiking/backpacking scenario and asked to answer a question regarding how you would choose to proceed in that scenario. Please be assured that your responses will be kept completely confidential.


The entire survey should take approximately 10 minutes to complete.  Your participation in this research is voluntary. You have the right to withdraw at any point during the study, for any reason, and without any prejudice. If you would like to contact the Principal Investigator in the study to discuss this research, please e-mail Jason Papale (papale47@berkeley.edu), Marcus Streips (mastreips@berkeley.edu), or Collin Cunningham (collincun@berkeley.edu).

By clicking the button below, you acknowledge that your participation in the study is voluntary, you are 18 years of age, and that you are aware that you may choose to terminate your participation in the study at any time and for any reason.",Age - What Year Were You Born? (1900-2002),Gender - Selected Choice,Gender - Prefer to self-describe - Text,What is you height?,What is your weight?,Marital Status,Do you have children?,Education. What is the highest degree or level of school you have completed?,Weekly Physical Activity of at least 30 minutes?,Hiking and/or Backpacking Experience Over Your Lifetime?,"In any of your hiking experiences, have you hiked along any desert sections, where water was unavailable?",Do you have any condition which would prevent you from hiking in 90+ degree weather?,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,How much water will you bring (in liters)? - # of Liters,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How much water will you bring (in liters)? - # of Liters,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID456""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID661_TEXT""}","{""ImportId"":""QID662_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID23""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID649""}","{""ImportId"":""QID32_BROWSER""}","{""ImportId"":""QID32_VERSION""}","{""ImportId"":""QID32_OS""}","{""ImportId"":""QID32_RESOLUTION""}","{""ImportId"":""QID655_1""}","{""ImportId"":""QID484_FIRST_CLICK""}","{""ImportId"":""QID484_LAST_CLICK""}","{""ImportId"":""QID484_PAGE_SUBMIT""}","{""ImportId"":""QID484_CLICK_COUNT""}","{""ImportId"":""QID659_1""}","{""ImportId"":""QID660_FIRST_CLICK""}","{""ImportId"":""QID660_LAST_CLICK""}","{""ImportId"":""QID660_PAGE_SUBMIT""}","{""ImportId"":""QID660_CLICK_COUNT""}"
4/12/2020 14:01,4/12/2020 14:03,IP Address,136.57.170.47,100,124,TRUE,4/12/2020 14:03,R_3prQ1iASidn4BOd,,,,,35.2315979,-80.84279633,social,EN,,"I consent, begin the study",1991,Man,,70,225,Married,No,College graduate,Moderate (3-4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",No,No,Safari iPhone,Unknown,iPhone,414x896,3,0.61,61.241,63.15,38,,,,,
4/12/2020 16:47,4/12/2020 16:49,IP Address,73.85.200.199,100,146,TRUE,4/12/2020 16:49,R_1PRgKBqf9BbaNqH,,,,,25.88180542,-80.21350098,anonymous,EN,,"I consent, begin the study",1991,Man,,71,165,Single,No,Graduate level (some or graduate),Minimal (1-2 Times per week),"Minimal (I've gone hiking or backpacking a few times, for at least a mile at a time)",No,No,Chrome,80.0.3987.149,Macintosh,1440x900,,,,,,3,75.182,75.182,93.776,1
4/12/2020 16:50,4/12/2020 16:54,IP Address,74.132.37.216,100,282,TRUE,4/12/2020 16:54,R_1geb5Baja5d2Qrw,,,,,38.26339722,-85.67299652,anonymous,EN,,"I consent, begin the study",1980,Man,,69,180,Married,Yes,Graduate level (some or graduate),Extensive (More than 4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Chrome,80.0.3987.149,Macintosh,1920x1080,,,,,,4,118.645,179.314,182.419,6
4/12/2020 16:56,4/12/2020 16:59,IP Address,73.241.6.241,100,210,TRUE,4/12/2020 16:59,R_1OMFwMVNuRoQxbQ,,,,,37.65379333,-122.425705,anonymous,EN,,"I consent, begin the study",1990,Man,,71,160,Single,No,Graduate level (some or graduate),Extensive (More than 4 Times per week),"Extensive (I hike or backpack regularly, for at least a mile at a time)",Yes,No,Firefox,74,Macintosh,1280x720,,,,,,4,99.308,99.308,102.175,1
4/12/2020 17:02,4/12/2020 17:05,IP Address,114.142.252.86,100,161,TRUE,4/12/2020 17:05,R_2s6Xi8kGzAsAeFw,,,,,13.35980225,144.7029114,anonymous,EN,,"I consent, begin the study",1988,Woman,,62,115,Married,Yes,Graduate level (some or graduate),Extensive (More than 4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",No,No,Safari iPhone,Unknown,iPhone,414x736,4.5,6.805,66.543,68.101,9,,,,,
4/12/2020 17:04,4/12/2020 17:08,IP Address,99.179.120.131,100,227,TRUE,4/12/2020 17:08,R_3fpjURxM9Dw4fmt,,,,,39.24580383,-96.63359833,anonymous,EN,,"I consent, begin the study",1990,Man,,66,145,Married,No,Graduate level (some or graduate),Minimal (1-2 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Chrome,80.0.3987.163,Windows NT 10.0,1920x1080,4,54.8,54.8,56.756,1,,,,,
4/12/2020 17:09,4/12/2020 17:13,IP Address,65.184.156.74,100,187,TRUE,4/12/2020 17:13,R_3KBji0buKYJ700H,,,,,34.70019531,-77.13400269,anonymous,EN,,"I consent, begin the study",1989,Man,,72,200,Married,Yes,College graduate,Extensive (More than 4 Times per week),"Extensive (I hike or backpack regularly, for at least a mile at a time)",Yes,No,Safari iPhone,Unknown,iPhone,375x812,4.3,0.135,101.647,102.502,36,,,,,
4/12/2020 17:13,4/12/2020 17:16,IP Address,173.174.222.109,100,174,TRUE,4/12/2020 17:16,R_6WCF22uxLS1G7S1,,,,,29.46980286,-98.53569794,anonymous,EN,,"I consent, begin the study",1990,Woman,,64,125,Single,No,Graduate level (some or graduate),Minimal (1-2 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Chrome,80.0.3987.163,Macintosh,1280x800,6,1.547,100.36,102.366,22,,,,,
4/12/2020 17:52,4/12/2020 17:54,IP Address,174.192.4.21,100,97,TRUE,4/12/2020 17:54,R_3EgThP4e085fe6m,,,,,41.53819275,-72.80079651,anonymous,EN,,"I consent, begin the study",1983,Man,,69,184,Married,Yes,Graduate level (some or graduate),Extensive (More than 4 Times per week),"Extensive (I hike or backpack regularly, for at least a mile at a time)",No,No,Chrome iPhone,80.0.3987.95,iPhone,375x812,5,1.943,35.645,37.098,10,,,,,
4/12/2020 17:50,4/12/2020 17:55,IP Address,72.191.53.248,100,328,TRUE,4/12/2020 17:55,R_W2l82wtjvJGIHkd,,,,,29.45509338,-98.64980316,anonymous,EN,,"I consent, begin the study",1991,Woman,,67,132,Married,No,Some college,Moderate (3-4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Safari,11.1.2,Macintosh,1280x800,,,,,,4.5,126.802,153.483,171.601,3
4/12/2020 17:54,4/12/2020 18:01,IP Address,67.184.40.247,100,422,TRUE,4/12/2020 18:01,R_2dfHkDzpvZj0k8m,,,,,41.70570374,-88.19460297,anonymous,EN,,"I consent, begin the study",1989,Man,,69,155,Married,No,College graduate,Moderate (3-4 Times per week),"Extensive (I hike or backpack regularly, for at least a mile at a time)",Yes,No,Safari iPhone,Unknown,iPhone,375x667,,,,,,8,1.025,329.707,331.467,25
4/12/2020 18:08,4/12/2020 18:10,IP Address,76.126.92.49,100,148,TRUE,4/12/2020 18:10,R_2YudDI7WThESsgc,,,,,37.2124939,-121.8641052,anonymous,EN,,"I consent, begin the study",1974,Man,,72,196,Married,Yes,Graduate level (some or graduate),Extensive (More than 4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",No,No,Chrome,80.0.3987.163,Windows NT 10.0,1920x1080,2,38.324,38.324,58.736,1,,,,,
4/12/2020 18:30,4/12/2020 18:37,IP Address,174.101.232.4,100,383,TRUE,4/12/2020 18:37,R_41PGyKBu3cwkbUl,,,,,40.11129761,-82.97170258,anonymous,EN,,"I consent, begin the study",1976,Man,,73,250,Married,Yes,Graduate level (some or graduate),Minimal (1-2 Times per week),"Extensive (I hike or backpack regularly, for at least a mile at a time)",Yes,No,Chrome,80.0.3987.162,Android 7.0,412x732,5,10.197,238.996,240.129,34,,,,,
4/12/2020 19:22,4/12/2020 19:25,IP Address,98.171.169.37,100,198,TRUE,4/12/2020 19:25,R_1JY2DWdA37wx7Jz,,,,,34.44500732,-119.8045959,anonymous,EN,,"I consent, begin the study",1981,Man,,72,170,Single,No,Graduate level (some or graduate),Moderate (3-4 Times per week),"Extensive (I hike or backpack regularly, for at least a mile at a time)",Yes,No,Chrome,80.0.3987.163,Macintosh,1680x1050,2,105.646,105.646,111.07,1,,,,,
4/12/2020 20:08,4/12/2020 20:10,IP Address,71.185.41.241,100,109,TRUE,4/12/2020 20:10,R_2RWwSVdcvHi6sH5,,,,,40.08250427,-75.30439758,social,EN,,"I consent, begin the study",1981,Man,,180,180,Married,Yes,Graduate level (some or graduate),Minimal (1-2 Times per week),"Minimal (I've gone hiking or backpacking a few times, for at least a mile at a time)",No,No,Safari iPhone,Unknown,iPhone,375x812,,,,,,2,4.073,37.019,40.092,11
4/12/2020 20:28,4/12/2020 20:32,IP Address,24.23.137.126,100,237,TRUE,4/12/2020 20:32,R_2YRnkTKGNMKPp54,,,,,37.39309692,-121.9620056,anonymous,EN,,"I consent, begin the study",1986,Man,,71,200,Married,Yes,College graduate,Extensive (More than 4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",,No,MSIE,11,Windows NT 10.0,1600x900,,,,,,3,2.637,124.632,128.496,3
